Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
E2-1,4/20/06,RNE2|RNU108,SNORA62|E2,RNE2|RNU108|SNORA62|E2
RNU11,,,U11|RNU11-1,U11|RNU11-1
U11,,,RNU11|RNU11-1,RNU11|RNU11-1
RNU11-1,,,RNU11|U11,RNU11|U11
RNU12-2P,4/20/11,RNU12|RNU12P,U12,RNU12|RNU12P|U12
U12,4/20/11,RNU12|RNU12P,RNU12-2P,RNU12|RNU12P|RNU12-2P
BCNG2~,,,,
SNORD13P1,8/20/11,RNU13P1,U13|U13.32A,RNU13P1|U13|U13.32A
U13,8/20/11,RNU13P1,SNORD13P1|U13.32A,RNU13P1|SNORD13P1|U13.32A
U13.32A,8/20/11,RNU13P1,SNORD13P1|U13,RNU13P1|SNORD13P1|U13
SNORD13P2,2/20/10,RNU13P2,U13|U13.12A,RNU13P2|U13|U13.12A
U13,2/20/10,RNU13P2,SNORD13P2|U13.12A,RNU13P2|SNORD13P2|U13.12A
U13.12A,2/20/10,RNU13P2,SNORD13P2|U13,RNU13P2|SNORD13P2|U13
SNORD13P3,2/20/10,RNU13P3,U13|U13.4B,RNU13P3|U13|U13.4B
U13,2/20/10,RNU13P3,SNORD13P3|U13.4B,RNU13P3|SNORD13P3|U13.4B
U13.4B,2/20/10,RNU13P3,SNORD13P3|U13,RNU13P3|SNORD13P3|U13
SNORD14A,5/20/06,RNU14,U14|RNU14A,RNU14|U14|RNU14A
U14,5/20/06,RNU14,SNORD14A|RNU14A,RNU14|SNORD14A|RNU14A
RNU14A,5/20/06,RNU14,SNORD14A|U14,RNU14|SNORD14A|U14
SNORD15A,5/20/06,RNU15A,U15A,RNU15A|U15A
U15A,5/20/06,RNU15A,SNORD15A,RNU15A|SNORD15A
SNORA73A,4/20/06,RNE1|RNU17A,U17A|E1-7|E1b|E1,RNE1|RNU17A|U17A|E1-7|E1b|E1
U17A,4/20/06,RNE1|RNU17A,SNORA73A|E1-7|E1b|E1,RNE1|RNU17A|SNORA73A|E1-7|E1b|E1
E1-7,4/20/06,RNE1|RNU17A,SNORA73A|U17A|E1b|E1,RNE1|RNU17A|SNORA73A|U17A|E1b|E1
E1b,4/20/06,RNE1|RNU17A,SNORA73A|U17A|E1-7|E1,RNE1|RNU17A|SNORA73A|U17A|E1-7|E1
E1,4/20/06,RNE1|RNU17A,SNORA73A|U17A|E1-7|E1b,RNE1|RNU17A|SNORA73A|U17A|E1-7|E1b
SNORA73B,4/20/06,RNU17B|RNU105A,U17B|E1c,RNU17B|RNU105A|U17B|E1c
U17B,4/20/06,RNU17B|RNU105A,SNORA73B|E1c,RNU17B|RNU105A|SNORA73B|E1c
E1c,4/20/06,RNU17B|RNU105A,SNORA73B|U17B,RNU17B|RNU105A|SNORA73B|U17B
RNU17C~,,,,
SNHG3,2/20/15,RNU17D|RNU17C,U17HG|U17HG-A|NCRNA00014,RNU17D|RNU17C|U17HG|U17HG-A|NCRNA00014
U17HG,2/20/15,RNU17D|RNU17C,SNHG3|U17HG-A|NCRNA00014,RNU17D|RNU17C|SNHG3|U17HG-A|NCRNA00014
U17HG-A,2/20/15,RNU17D|RNU17C,SNHG3|U17HG|NCRNA00014,RNU17D|RNU17C|SNHG3|U17HG|NCRNA00014
